"id","label","value"
"IV.AcquaintanceVariable.degreeOfFriendship","degree of friendship","2"
"IV.AcquaintanceVariable.relationshipWithFocalAgent","relationship with the partner","66"
"IV.AgeVariable.age","age","47"
"IV.AgeVariable.ageCohort","age cohort","24"
"IV.AnchorVariable.anchor","anchor","13"
"IV.Behavior_in_the_gameVariable.othersBehaviorCorr","partner's behavior (correlation)","17"
"IV.Behavior_in_the_gameVariable.othersBehaviorLevel","partner's behavior level","2"
"IV.Behavior_in_the_gameVariable.ownBehaviorLevel","participant's behavior level","20"
"IV.ChoicesVariable.exitOption","exit option","8"
"IV.ChoicesVariable.lowerChoiceRange","lowest choice option","17"
"IV.ChoicesVariable.nbOfChoices","number of choices","17"
"IV.ChoicesVariable.upperChoiceRange","highest choice option","17"
"IV.Cognitive_loadVariable.cognitiveLoadTreatment","cognitive load treatment","20"
"IV.CommunicationVariable.communicationContent","communication content","192"
"IV.CommunicationVariable.communicationOccurrence","communication occurrence","370"
"IV.CommunicationVariable.communicationOptional","optional communication","366"
"IV.CommunicationVariable.communicationReal","real communication","357"
"IV.CommunicationVariable.communicationTreatment","communication treatment","600"
"IV.CommunicationVariable.communicationType","communication type","372"
"IV.CommunicationVariable.restricted","restricted communication","371"
"IV.CriticalityVariable.criticalityLevel","criticality level","22"
"IV.CriticalityVariable.perceivedCriticality","perceived criticality","8"
"IV.EducationVariable.academicDiscipline","academic discipline","18"
"IV.EducationVariable.academicGrade","academic grade","3"
"IV.EducationVariable.academicGradeLevel","academic grade level","7"
"IV.EducationVariable.academicPerformance","academic performance","2"
"IV.EducationVariable.knowledgeOfExperimentalGames","knowledge of experimental games","14"
"IV.EducationVariable.knowledgeOfExperimentalGamesCorr","knowledge of experimental games (correlation)","1"
"IV.EducationVariable.student","student sample","77"
"IV.EmotionsVariable.emotion","emotion","131"
"IV.EmotionsVariable.emotionIntensity","emotion intensity","8"
"IV.EmotionsVariable.emotionManipulated","emotion manipulation","156"
"IV.EmotionsVariable.emotionValence","emotion valence","40"
"IV.EmotionsVariable.partnerEmotion","partner's emotion","20"
"IV.EmotionsVariable.partnerEmotionDisplay","partner's emotion display","25"
"IV.EmotionsVariable.partnerEmotionManipulated","partner's emotion manipulation","25"
"IV.EmotionsVariable.partnerEmotionValence","partner's emotion valence","5"
"IV.EthnicityVariable.ethnicityUS","ethnicity (us)","68"
"IV.EthnicityVariable.heterogeneousEthnicity","heterogeneous ethnicity","61"
"IV.EthnicityVariable.nationality","nationality","88"
"IV.EthnicityVariable.society","small-scale society","3"
"IV.ExpectationsVariable.expectations","expectations","107"
"IV.ExpectationsVariable.expectationsLevel","expectations level","56"
"IV.Experimental_SettingVariable.experimentalSetting","experimental setting","23"
"IV.FeedbackVariable.feedbackContent","feedback content","283"
"IV.FeedbackVariable.feedbackTarget","feedback target","344"
"IV.FeedbackVariable.noise","noise","33"
"IV.FramingVariable.contextFrame","context frame","224"
"IV.FramingVariable.focalPointFrame","focal point frame","22"
"IV.FramingVariable.gainLossFrame","gain-loss frame","76"
"IV.FramingVariable.giveTakeFrame","give-take frame","114"
"IV.FramingVariable.publicGoodBadFrame","public good-bad frame","22"
"IV.Game_ComprehensionVariable.gameComprehension","comprehension of the game","1"
"IV.Game_ComprehensionVariable.gameComprehensionLevel","comprehension of the game level","2"
"IV.Game_DurationVariable.continuationProbability","continuation probability","34"
"IV.Game_DurationVariable.knownEndGame","known endgame","73"
"IV.Game_DurationVariable.nbBlocks","number of blocks","92"
"IV.Game_DurationVariable.nbTrials","number of trials","120"
"IV.Game_DurationVariable.oneShotVsRepeated","one-shot vs repeated","82"
"IV.Game_TypeVariable.behaviorInDifferentGame","behavior in different game","26"
"IV.Game_TypeVariable.behaviorInDifferentOtherGame","behavior in different other game","3"
"IV.Game_TypeVariable.gameType","game type","105"
"IV.Game_TypeVariable.otherGameType","other game type","33"
"IV.GenderVariable.gender","gender","631"
"IV.GenderVariable.heterogeneousGender","heterogeneous gender","615"
"IV.GenderVariable.partnersGenderKnownInGame","partner's gender is known","461"
"IV.Gender_RoleVariable.genderRole","gender role","10"
"IV.Group_SizeVariable.decisionMaker","decision maker","253"
"IV.Group_SizeVariable.decisionMakerUnitSize","size of unit of decision maker","239"
"IV.Group_SizeVariable.groupSize","group size","279"
"IV.Group_SizeVariable.groupSizeCorr","group size (correlation)","3"
"IV.Group_SizeVariable.groupSizeLevel","group size level","14"
"IV.Group_SizeVariable.numberOfDecisionMakers","number of decision makers","239"
"IV.HormonesVariable.hormone","hormone","5"
"IV.HormonesVariable.hormoneLevel","hormone level","3"
"IV.HormonesVariable.hormonesAdministration","hormones administration","14"
"IV.IdentificationVariable.entitativity","entitativity","4"
"IV.IdentificationVariable.entitativityLevel","entitativity level","2"
"IV.IdentificationVariable.groupType","group type","359"
"IV.IdentificationVariable.identification","identification","25"
"IV.IdentificationVariable.identificationLevel","identification level","18"
"IV.IdentificationVariable.knowledgeOfMembership","knowledge of group membership","380"
"IV.IdentificationVariable.targetMembership","partner's group membership","383"
"IV.IncentivesVariable.gameIncentive","game incentive","85"
"IV.IncentivesVariable.lotteryIncentive","lottery incentive","83"
"IV.IncentivesVariable.showUpFee","show-up fee","89"
"IV.Institution__Variable.rebateorRefund","rebate vs refund","60"
"IV.Institutional_ChoiceVariable.choiceMechanism","institutional choice mechanism","139"
"IV.Institutional_ChoiceVariable.institutionalChoice","institutional choice","220"
"IV.Institutional_ChoiceVariable.typeOfInstitution","institution type","152"
"IV.Institutional_ChoiceVariable.voteOutcome","vote outcome","30"
"IV.Institutional_ChoiceVariable.voteTarget","vote target","130"
"IV.IntentionsVariable.intentions","intentions","5"
"IV.Intergroup_Competition_Variable.intergroupComp","intergroup competition","161"
"IV.LeadershipVariable.leaderBehavior","leader's behavior","27"
"IV.LeadershipVariable.leaderCharacteristic","leader's characteristic","35"
"IV.LeadershipVariable.leadership","leadership","171"
"IV.LeadershipVariable.leadershipAssignmentRule","leadership assignment rule","132"
"IV.LeadershipVariable.leadershipEndogenous","endogenous leadership","139"
"IV.LeadershipVariable.leadershipRole","leadership role","43"
"IV.MatchingVariable.matching","matching","99"
"IV.MatchingVariable.partnerChoice","partner choice","92"
"IV.MonitoringVariable.costlyMonitoring","costly monitoring","14"
"IV.MonitoringVariable.monitoringCost","monitoring cost","10"
"IV.Motivational_OrientationVariable.endogenousMotivationalOrientation","endogenous motivational orientation","11"
"IV.Motivational_OrientationVariable.motivationalOrientation","motivational orientation","59"
"IV.Normative_BehaviorVariable.descriptiveNorm","descriptive norm","14"
"IV.Normative_BehaviorVariable.groupVariability","group variability","14"
"IV.Normative_BeliefsVariable.normativeBeliefs","normative beliefs","7"
"IV.OstracismVariable.ostracism","ostracism","61"
"IV.PDGVariable.conflictIndex","conflict index","369"
"IV.PDGVariable.conflictIndexLevel","conflict index level","341"
"IV.PDGVariable.conflictIndexValue","conflict index value","384"
"IV.PGGVariable.endowmentAssigned","assigned endowment","32"
"IV.PGGVariable.endowmentLevel","endowment level","6"
"IV.PGGVariable.endowmentSize","endowment size","671"
"IV.PGGVariable.endowmentSymmetric","symmetric endowment","430"
"IV.PGGVariable.externalMPCR","external mpcr","4"
"IV.PGGVariable.individualMPCR","individual mpcr","6"
"IV.PGGVariable.mPCR","mpcr","255"
"IV.PGGVariable.mPCRsymmetric","symmetric mpcr","73"
"IV.PGGVariable.mRS","mrs","20"
"IV.PGGVariable.privateAccountReturn","private account return","30"
"IV.PGGVariable.privateAccountReturnSymmetric","symmetric private account return","6"
"IV.Partner(s)'_strategiesVariable.iteratedPreprogrammedCooperationRate","iterated pre-programmed cooperation rate","198"
"IV.Partner(s)'_strategiesVariable.iteratedStrategy","iterated strategy","414"
"IV.Partner(s)'_strategiesVariable.oneShotStrategy","one-shot strategy","81"
"IV.Partner(s)'_strategiesVariable.oneShotStrategyValue","one-shot strategy value","84"
"IV.Partner_realVariable.partnerReal","real partner","5"
"IV.Partner_typeVariable.partnerType","partner type","70"
"IV.Perception_of_the_partner(s)Variable.genderOfPartner","gender of the partner","50"
"IV.Perception_of_the_partner(s)Variable.partnerPerception","partner perception","144"
"IV.Perception_of_the_partner(s)Variable.partnerPerceptionLevel","partner perception level","96"
"IV.Perception_of_the_partner(s)Variable.similarityLevel","similarity level","26"
"IV.PeriodVariable.blockOfCooperation","block of cooperation","350"
"IV.PeriodVariable.blockOfCooperationOrdinal","block of cooperation (ordinal)","38"
"IV.PeriodVariable.trialOfCooperation","trial of cooperation","69"
"IV.PeriodVariable.trialOfCooperationOrdinal","trial of cooperation (ordinal)","185"
"IV.PersonalityVariable.individualDifference","individual difference","1294"
"IV.PersonalityVariable.individualDifferenceLevel","individual difference level","144"
"IV.PersonalityVariable.individualDifferenceMeasure","individual difference measure","2282"
"IV.PersonalityVariable.psychopathology","psychopathology","33"
"IV.PersonalityVariable.sVOType","svo type","340"
"IV.PersonalityVariable.subscale","subscale","787"
"IV.Physical_ProximityVariable.physicalProximity","physical proximity","6"
"IV.Political_IdeologyVariable.politicalIdeology","political ideology","3"
"IV.PowerVariable.powerLevel","power level","103"
"IV.PowerVariable.powerManipulationMethod","power manipulation method","79"
"IV.PowerVariable.powerType","power type","103"
"IV.Preferences_for_Conditional_CooperationVariable.preferenceConditionalCooperation","preference for conditional cooperation","51"
"IV.PrimingVariable.primingConcept","primed construct","109"
"IV.PunishmentVariable.focalAgentPunished","focal participant has punished","18"
"IV.PunishmentVariable.lotteryPunishmentIncentive","lottery punishment incentive","718"
"IV.PunishmentVariable.punishmentAgent","punishment agent","747"
"IV.PunishmentVariable.punishmentDistributionRule","punishment distribution rule","708"
"IV.PunishmentVariable.punishmentEffectiveness","punishment effectiveness","468"
"IV.PunishmentVariable.punishmentIncentive","punishment incentive","736"
"IV.PunishmentVariable.punishmentIterations","punishment iterations","736"
"IV.PunishmentVariable.punishmentProbability","punishment probability","848"
"IV.PunishmentVariable.punishmentRule","punishment rule","259"
"IV.PunishmentVariable.punishmentSequential","sequential punishment","735"
"IV.PunishmentVariable.punishmentTreatment","punishment treatment","1178"
"IV.Re-Start_EffectVariable.restart","restart","2"
"IV.ReligiosityVariable.religiosityCor","religiosity","12"
"IV.ReligiosityVariable.religiosityOperationalization","religiosity operationalization","29"
"IV.ReligiosityVariable.religiousLevel","religious exposure level","17"
"IV.ReputationVariable.anonymityCor","anonymity","1"
"IV.ReputationVariable.anonymityManipul","anonymity manipulation","173"
"IV.ReputationVariable.gossip","gossip","11"
"IV.ReputationVariable.knowledgeOfPartnerPriorBehavior","knowledge of partner's prior behavior","120"
"IV.ReputationVariable.partnerSelection","partner selection","34"
"IV.RewardVariable.lotteryRewardIncentive","lottery reward incentive","151"
"IV.RewardVariable.rewardAgent","reward agent","167"
"IV.RewardVariable.rewardEffectiveness","reward effectiveness","71"
"IV.RewardVariable.rewardIncentive","reward incentive","165"
"IV.RewardVariable.rewardIterations","reward iterations","166"
"IV.RewardVariable.rewardProbability","reward probability","157"
"IV.RewardVariable.rewardRule","reward rule","85"
"IV.RewardVariable.rewardSequential","sequential reward","166"
"IV.RewardVariable.rewardTreatment","reward treatment","320"
"IV.SequentialityVariable.positionEndogenous","endogenous position","197"
"IV.SequentialityVariable.positionInGame","position in game","105"
"IV.SequentialityVariable.sequentiality","sequentiality","198"
"IV.Shadow_of_the_FutureVariable.shadowoftheFuture","shadow of the future","23"
"IV.Social_CapitalVariable.socialCapital","social capital","28"
"IV.Social_CapitalVariable.socialCapitalLevel","social capital level","4"
"IV.State_TrustVariable.stateTrust","state trust","9"
"IV.State_TrustVariable.stateTrustLevel","state trust level","5"
"IV.Step-level_PGGVariable.stepReturn","step return","16"
"IV.Step-level_PGGVariable.threshold","threshold","141"
"IV.Step-level_PGGVariable.thresholdEndogenous","endogenous threshold","15"
"IV.SymmetryVariable.symmetric","symmetry","249"
"IV.SymmetryVariable.symmetryTarget","symmetry target","249"
"IV.SynchronyVariable.synchrony","synchrony","16"
"IV.TaxationVariable.incomeTax","income tax","13"
"IV.TaxationVariable.incomeTaxRate","income tax rate","13"
"IV.TaxationVariable.minimumContribution","minimum contribution","95"
"IV.TaxationVariable.minimumContributionValue","minimum contribution value","75"
"IV.Time_PressureVariable.decisionTime","decision time","6"
"IV.Time_PressureVariable.decisionTimeCorr","decision time (correlation)","1"
"IV.Time_PressureVariable.timePressure","time pressure","81"
"IV.UncertaintyVariable.uncertaintyLevel","uncertainty level","167"
"IV.UncertaintyVariable.uncertaintyTarget","uncertainty target","172"
"IV.ValuesVariable.otherValues","other values","17"
"IV.ValuesVariable.schwartzValues","values (schwartz)","69"
"IV.Watching_EyesVariable.watchingEyes","watching eyes","7"